Company,Website,Segment,Stage,Why They Fit,Framework/Stack,Pain Signal,Fit Score (1-5),Urgency (1-5),Total Score,Contact Role,Contact Name,Outreach Channel,Notes
CrewAI,crewai.com,Agent Framework,Series A ($18M),Leading multi-agent framework — 150+ enterprise customers need agent identity natively. Integration partner opportunity.,CrewAI (own),Users ask about key management in multi-agent setups,5,5,10,CEO / Co-founder,Joao Moura,GitHub + Twitter,Partnership angle: native AI Identity integration for CrewAI Enterprise
Composio,composio.dev,Agent Tooling,Series A ($29M),Agent-to-SaaS integration layer — manages 3000+ tool connections. Credential management is core pain.,LangChain + CrewAI integrations,Auth/credential management for agent-to-API connections at scale,5,5,10,Co-founder,Soham Ganatra,GitHub + Twitter,They already handle auth — potential integration or competitor. Approach as complement.
E2B,e2b.dev,Agent Infrastructure,Series A ($21M),Secure sandboxes for AI agents — 15M sandboxes/month. Agent identity is adjacent to their security story.,Framework-agnostic,Agent sandboxes need identity layer for API calls from within sandbox,5,4,9,CEO,Vasek Mlejnsky,GitHub + Twitter,Strong fit — their sandbox + our identity = complete agent runtime security
Dust.tt,dust.tt,Agent Platform,Series B,Enterprise AI agent OS — agents access company data and external APIs. Need per-agent audit trails.,Custom orchestration (Temporal),Enterprise customers need compliance/audit for agent actions,4,5,9,CTO / Co-founder,Stan Polu,Twitter + Email,Enterprise focus means compliance pressure is high
Relevance AI,relevanceai.com,Agent Platform,Series B ($24M),AI workforce platform — agents for sales/GTM teams at Canva and KPMG. Multi-agent = key management pain.,Custom multi-agent,Enterprise customers (Canva/KPMG) need agent governance,4,4,8,CTO / Engineering Lead,—,LinkedIn + Email,Strong enterprise customer base means compliance conversations happening now
LangChain (LangSmith),langchain.com,Agent Framework,Series B ($125M),Dominant framework — 50K+ production apps. LangSmith deployment needs agent identity layer.,LangGraph (own),Agent deployment infrastructure needs identity/key management,5,3,8,Head of Product / DevRel,—,GitHub + Community,Ecosystem play — integration partner for LangSmith deployment
Browserbase,browserbase.com,Agent Infrastructure,Series A,Headless browser infra for AI agents — agents making web requests need identity and API key management.,Framework-agnostic,Agents making web API calls need credential management,4,4,8,CEO / CTO,—,GitHub + Twitter,Agent web automation = lots of credential/identity needs
Fixie.ai,fixie.ai,Agent Platform,Series A,AI agent platform with tool integrations — agents calling external APIs need per-agent identity.,Custom agent framework,Multi-tool agent deployments need key isolation,4,3,7,CTO,—,Twitter + Email,Product-led growth company — good design partner fit
AgentOps,agentops.ai,Agent Observability,Seed/Series A,Agent monitoring platform — observability + identity are complementary. Could integrate agent identity into their dashboard.,LangChain + CrewAI,Monitoring shows which agent did what — identity completes the picture,4,3,7,CEO / Founder,Alex Reibman,GitHub + Twitter,Complementary product — integration partner angle
Superagent,superagent.sh,Agent Security,Seed,Red team testing for AI agents — security-first company that would deeply understand agent identity needs.,Framework-agnostic,Agent security testing needs identity layer to scope tests per agent,4,3,7,CEO / Founder,—,GitHub + Twitter,Security-focused = natural alignment with our value prop
8Flow,8flow.ai,Agent Orchestration,Series A ($16.6M),AI workflow automation with multi-agent orchestration — business processes need per-agent permissions.,Custom orchestration,Business process agents need audit trails and permission boundaries,3,4,7,CTO / Engineering Lead,—,LinkedIn + Email,Enterprise workflow automation = compliance-sensitive
Wonderful AI,wonderful.ai,Agent Platform,Series A ($100M),Customer service agents at scale — high volume = high need for agent identity and audit.,Custom agent platform,Customer-facing agents need strict identity/permission controls,3,4,7,CTO,—,LinkedIn + Email,Large round suggests enterprise ambitions — compliance will matter
Parloa,parloa.com,Agent Platform,Series C ($120M),Enterprise customer service agent platform — EU-based = GDPR compliance pressure on agent identity.,Custom NLP + agents,EU enterprise = GDPR audit requirements for agent actions,3,4,7,VP Engineering,—,LinkedIn + Email,EU compliance angle is strong — GDPR requires agent-level audit trails
Shakudo,shakudo.io,Agent Infrastructure,Series A,AgentFlow wraps LangChain/CrewAI — low-code agent deployment needs identity management built in.,LangChain + CrewAI + AutoGen,Multi-framework platform = key management complexity multiplied,3,3,6,CTO / Product Lead,—,LinkedIn + Email,Multi-framework support means they feel the identity pain across ecosystems
Maihem,maihem.ai,Agent Testing,YC W24,AI agent testing platform — testing agents need isolated identities and controlled API access.,Framework-agnostic,Testing agents against APIs requires scoped credentials,3,3,6,CEO / Founder,—,GitHub + YC Community,Testing use case: each test agent needs its own identity/keys
Basepilot,basepilot.com,Agent Automation,YC W24,Browser automation agents — agents performing web actions need identity and credential management.,Custom browser agents,Web automation agents need per-agent API credentials,3,3,6,CEO / Founder,—,GitHub + YC Community,Early stage but strong use case for agent identity
Oki AI,oki.ai,Agent Platform,YC W25,AI team member that reads code/Slack/docs — needs scoped permissions per data source.,Custom agents,Agent accessing company data needs identity-based access control,3,3,6,CEO / Founder,—,GitHub + YC Community,Newer YC company — early stage design partner potential
